Acc	Results	Terms	ReleaseDate	Taxa	Platforms	AllPlatformsInGemma	Affy	NumSamples	Type	SuperSeries	SubSeriesOf	PubMed	Title	Summary	MeSH	SampleTerms
GSE180965	False	[]	2021.07.28	Homo sapiens	GPL16791	True	False	120	Expression profiling by high throughput sequencing	False			Lentiviral-driven discovery of cancer drug resistance mutations	Identifying resistance mutations in a drug target provides crucial information. Lentiviral transduction creates multiple types of mutations due to the error-prone nature of the HIV-1 reverse transcriptase (RT). We optimized and leveraged this property to identify drug resistance mutations, a technique we term LentiMutate. After validating this technique by identifying clinically relevant EGFR resistance mutations, we applied this technique to two additional anti-cancer drugs, imatinib and AMG 510. We find novel deletions in BCR-ABL1 that confer resistance to BCR-ABL1 inhibitors and point mutations in the AMG 510 binding pocket or oncogenic non-G12C mutations, in KRAS-G12C or wild-type KRAS, respectively, that confer resistance to AMG 510. LentiMutate may prove highly valuable to clinical and preclinical cancer drug development.		CML, Newly diagnosed / TKI naive;Leukapheresis;Mononuclear Cells;CML, TKI responder;Ph+ ALL, Newly diagnosed / TKI naive;Bone Marrow Aspirate;Ph+ ALL, TKI resistant;Peripheral Blood;CML, TKI resistant;White Blood Cells
GSE180932	True	[['pons', 'pons']]	2021.07.28	Homo sapiens	GPL10558	True	False	18	Expression profiling by array	False			Gene expression profiling in BEAS-2B cells treated with organic extracts from particulate matter produced by gasoline (E0) or gasoline-ethanol blend (E15)	The aim of this study was to perform comparative analysis of global gene expression changes in lung BEAS-2B cells in response to treatment with extracts of particulate matter produced by conventional gasoline (E0) or biogasoline (E15) differing in the content of organic compounds, particularly PAHs. To examine the toxicity, we monitored genome-wide gene expression changes in human lung BEAS-2B cells, exposed for 4h and 24h to a subtoxic dose of each PM extract. After 4h exposure, numerous dysregulated genes and processes such as oxidative stress, lipid and steroid metabolism, PPARα signaling and immune response, were found to be common for both extract treatments. Twenty four hour exposure resulted in more distinctive gene expression patterns. Although several common modulated processes indicating the metabolism of PAHs and activation of aryl hydrocarbon receptor (AhR) were identified, E15 specifically dysregulated a variety of other genes and pathways related to cancer promotion and progression, possibly due to the increased PAH content in PM organic extract.		lung;organic extract of non-exposed filter;organic extract of PM from E15;organic extract of PM from E0;epithelial cells;BEAS-2B;lung epithelial cells
GSE180930	False	[]	2021.07.28	Homo sapiens	GPL16791	True	False	27	Expression profiling by high throughput sequencing; Other	True			Cisplatin-induced decrease of mRNA length reveals functional and translated intronic-polyadenylation isoforms in the annotated 5’-untranslated region of genes	This SuperSeries is composed of the SubSeries listed below.		Total cells;Vehicle (DMSO);Oxaliplatin;A549R;A549;Polysomes;Cytosol;Non-small cell lung cancer cell line;Cisplatin;H358
GSE180925	False	[]	2021.07.28	Homo sapiens	GPL14951	True	False	22	Expression profiling by array	False			Gene expression profiling of FFPE kidney cancer samples	We used Illumina microarrays to profile RNA expression in formalin-fixed paraffin-embedded (FFPE) samples of 22 metastatic or advanced RCC cases.		Kidney cancer;renal cell carcinoma tissue
GSE180921	False	[]	2021.07.28	Homo sapiens	GPL21290	True	False	9	Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing	False			Analyzing  ceRNA networks involved in KSHV lytic replication mediated by vIRF1 or vFLIP.	Whole-transcriptome sequencing (RNA sequencing [RNA-seq]) was performed in the viral producer cell lines iSLK-RGB BAC16 , iSLK-RGB-K9 mutant and  iSLK-RGB-K13 mutant cells to  uncover the global landscape of long non-coding RNAs (lncRNAs), circular RNAs (circRNAs), mRNAs and microRNAs (miRNAs) in  KSHV replication mediated by vIRF1 or vFLIP.		iSLK-puro;iSLK-RGB-K13 mutant;iSLK-RGB BAC16;treated with Doxycycline for 72 h;iSLK-RGB-K9 mutant
GSE180912	False	[]	2021.07.28	Mus musculus	GPL13112	True	False	20	Expression profiling by high throughput sequencing	False			Nox4-IGF2 axis promotes differentiation of embryoid body cells into derivatives of the three embryonic germ layers	Reactive oxygen species (ROS) play important roles as second messengers in a wide array of cellular processes including differentiation of stem cells. We identified Nox4 as the major ROS generating enzyme whose expression is induced during differentiation of embryoid body (EB) into cells of all three germ layers. The role of Nox4 was examined using iPS cells generated from Nox4 -/- mouse. Differentiation markers showed significantly reduced expression levels consistent with the importance of Nox4-generated ROS during this process. From transcriptomic analyses, we found insulin-like growth factor 2 (IGF2), a member of a gene family extensively involved in embryonic development, as one of the most down-regulated genes. Indeed, addition of IGF2 to culture partly restored the differentiation efficiency of Nox4-/- iPS cells. Our results reveal an important signaling axis mediated by ROS in control of crucial events during differentiation of pluripotent stem cells.		WT#1-4 iPSCs;day14;Nox4 kockout;day7;Nox4-/-#5-8 iPSCs;day5;WT#20D-17 iPSCs;day3;wild type;day0;Nox4-/-#5-23 iPSCs
GSE180882	False	[]	2021.07.28	Homo sapiens	GPL24676	True	False	45	Expression profiling by high throughput sequencing	False			Transcriptome characterization of organoids derived from healthy and irreversibly damaged NASH patient liver	Background and Aims: Nonalcoholic steatohepatitis (NASH) will soon become the leading cause of liver transplantation in the US and is also associated with increased COVID-19 mortality. Currently, there are no FDA approved drugs available that slow NASH progression or address NASH liver involvement in COVID-19. Since animal models cannot fully recapitulate human NASH, we hypothesized that stem cells isolated directly from end-stage NASH patient liver may address current knowledge gaps in human NASH pathology. Approach and Results: We devised methods allowing derivation, proliferation, hepatic differentiation and extensive characterization of bipotent ductal organoids from irreversibly damaged NASH patient liver. The transcriptomes of organoids derived from NASH liver, but not healthy liver show significant upregulation of pro-inflammatory and cytochrome p450-related pathways, as well as of known liver fibrosis and tumor markers, with the degree of upregulation being NASH patient-specific.		total RNA isolated by TRIZOL procedure;direct RNA isolation from liver;FDD healthy female  liver,  living donor;NASH5 female liver explant;MLD healthy male  liver,  living donor;NASH 2 male  liver explant;cirrhotic NASH human liver;NASH1 male liver explant;NASH6 male  liver explant;NASH explant liver;CF cystic fibropsis female liver explant;12d hepatic differentiation of biliary organoids;cystic fibropsis human liver;FDD healthy female  liver,  deceased donor;NASH5 female  liver explant;alcoholic cirrhosis  human liver;AC alcoholic cirrhosis  female liver explant;NASH3 male  liver explant;hepatic organoids;FDD healthy female  liver, deceased donor;NASH4 male  liver explant;female;male;healthy human liver
GSE180870	False	[]	2021.07.28	Homo sapiens	GPL21697	True	False	6	Expression profiling by high throughput sequencing	False			Steady-state and IL-1{alpha}-induced gene expression in wild-type and p38{alpha}-knockout HaCaT keratinocytes	Keratinocytes, the epithelial cells of the skin, reprogram their gene expression and produce immune effector molecules when exposed to environmental and endogenous triggers of inflammation. It remains unclear how keratinocytes process physiologic signals generated during skin irritation and switch from a homeostatic to an inflammatory state. This gene expression analysis shows that the stress-activated protein kinase p38{alpha} is crucial for keratinocytes to prompt changes in their transcriptome upon cytokine stimulation.		IL-1{alpha} in PBS for 4h;MAPK14-null;Unstimulated (PBS for 4h);WT;HaCaT;Immortalized keratinocytes
GSE180864	True	[['brain'], ['pons'], ['glia', 'glia', 'glia', 'glia', 'glia', 'glia', 'glia', 'glia', 'glia', 'glia', 'glia', 'glia', 'glia', 'glia', 'glia'], ['spinal'], ['microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia'], ['microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia', 'microglia']]	2021.07.28	Mus musculus	GPL23038	True	True	20	Expression profiling by array	False			p38 MAP kinase signaling in microglia plays a sex-specific protective role in CNS autoimmunity and regulates microglial transcriptional states	Multiple sclerosis (MS) is an autoimmune demyelinating disease of the central nervous system, representing the leading cause of non-traumatic neurologic disease in young adults. This disease is three times more common in women, yet more severe in men, but the mechanisms underlying these sex differences remain largely unknown. MS is initiated by autoreactive T helper cells, but CNS-resident and CNS-infiltrating myeloid cells are the key proximal effector cells regulating disease pathology. We have previously shown that genetic ablation of p38α MAP kinase broadly in the myeloid lineage is protective in the autoimmune model of MS, experimental autoimmune encephalomyelitis (EAE), but only in females, and not males. To precisely define the mechanisms responsible, we used multiple genetic approaches and bone marrow chimeras to ablate p38α in microglial cells, peripheral myeloid cells, or both. Deletion of p38α in both cell types recapitulated the previous sex difference, with reduced EAE severity in females. Unexpectedly, deletion of p38α in the periphery was protective in both sexes. In contrast, deletion of p38α in microglia exacerbated EAE in males only, revealing opposing roles of p38α in microglia vs. periphery. Bulk transcriptional profiling revealed that p38α regulated the expression of distinct gene modules in male vs. female microglia. Single-cell transcriptional analysis of WT and p38α-deficient microglia isolated from the inflamed CNS revealed a diversity of complex microglial states, connected by distinct convergent transcriptional trajectories. Microglial p38α deficiency in males resulted in enhanced transition from homeostatic to disease-associated microglial states, with the downregulation of regulatory genes such as Atf3, Rgs1, Socs3, and Btg2, and increased expression of inflammatory genes such as Cd74, Trem2, and MHC class I and II genes. Taken together, these results reveal the presence of a p38α-dependent male-specific molecular pathway in microglia that is protective in CNS autoimmunity, suggesting that autoimmunity in males and females is driven by distinct cellular and molecular pathways, thus informing the design of novel future sex-specific therapeutic approaches.		microglia, female CKO;microglia, female WT;microglia, male WT;wildtype;pooled brain and spinal cord, D21 post EAE induction;p38 CKO;microglia, male CKO;female;C57BL/6;male
GSE180861	True	[['pons', 'pons'], ['serotonin', 'serotonin'], ['5-hydroxytryptamine'], ['5ht', '5ht', '5ht', '5ht', '5ht'], ['tryptamine']]	2021.07.28	Mus musculus	GPL13112	True	False	1536	Expression profiling by high throughput sequencing	False			SEROTONIN LIMITS GENERATION OF CHROMAFFIN CELLS DURING ADRENAL ORGAN DEVELOPMENT	Adrenal gland is the major organ releasing catecholamines and regulating our stress response. The mechanisms balancing adrenal hormone-producing cells and protecting against neuroblastoma or other tumors are still enigmatic. Here we revealed that adrenergic chromaffin cells release serotonin (5HT), which acts upon their immediate progenitor “bridge” cells via 5-hydroxytryptamine receptor 3A (HTR3A). Consistently, the aggressive HTR3Ahigh human neuroblastoma cell lines reduce proliferation in response to HTR3A-specific agonists, suggesting the mechanism of anti-tumor protection. Physiological increase of 5HT in vivo caused prolongation of a cell cycle length in “bridge” progenitors leading to smaller chromaffin population and changing the balance of hormones and behavioral patterns in resulting adult rodents. These behavioral effects and smaller adrenals were mirrored in a progeny of pregnant females subjected to experimental stress, suggesting novel maternal-fetal link controlling developmental adaptations. Finally, these findings corresponded to a size-distribution of adrenals found in wild rodents with different coping strategies.		PBS;Adrenal Gland - E13.5 - 5HTP;Zuckerkandl organ - E13.5 - PBS;Zuckerkandl organ;5HTP;Zuckerkandl organ - E13.5 - 5HTP;Adrenal Gland - E13.5 - PBS;E13.5;Adrenal Gland;WNT-1 Cre; Rosa26-Tomato
